"","Site","Site.Age","Forest.Type","Canopy","variable","value"
"398",24.3,134,"WS","Upper canopy","Deciduous",14.16
"399",25.1,75,"WS","Upper canopy","Deciduous",15
"400",25.2,94,"D","Upper canopy","Deciduous",61.6
"401",25.3,140,"WS","Upper canopy","Deciduous",NA
"402",27.1,84,"BS","Upper canopy","Deciduous",17.5
"403",27.2,66,"BS","Upper canopy","Deciduous",7.5
"404",27.3,85,"BS","Upper canopy","Deciduous",22.5
"405",29.1,65,"WS","Upper canopy","Deciduous",NA
"406",29.2,52,"D","Upper canopy","Deciduous",38.3
"407",29.3,52,"WS","Upper canopy","Deciduous",25.83
"408",29.4,105,"WS","Upper canopy","Deciduous",17.5
"409",1,196,"D","Lower canopy","Deciduous",31.74
"410",1.1,83,"BS","Lower canopy","Deciduous",5.83
"411",1.2,93,"WS","Lower canopy","Deciduous",48.2
"412",1.3,158,"WS","Lower canopy","Deciduous",22
"413",2,35,"D","Lower canopy","Deciduous",13.2
"414",2.1,140,"D","Lower canopy","Deciduous",25.83
"415",2.2,170,"WS","Lower canopy","Deciduous",NA
"416",3,185,"D","Lower canopy","Deciduous",33.5
"417",3.1,128,"D","Lower canopy","Deciduous",55.16
"418",3.2,174,"D","Lower canopy","Deciduous",41.49
"419",3.3,60,"D","Lower canopy","Deciduous",35.32
"420",4,85,"D","Lower canopy","Deciduous",8.83
"421",4.1,48,"D","Lower canopy","Deciduous",35
"422",4.2,60,"D","Lower canopy","Deciduous",11.5
"423",4.3,71,"D","Lower canopy","Deciduous",38
"424",4.4,58,"D","Lower canopy","Deciduous",NA
"425",5,5,"recent fire","Lower canopy","Deciduous",43.5
"426",5.5,85,"BS","Lower canopy","Deciduous",5.62
"427",5.6,92,"BS","Lower canopy","Deciduous",1.4
"428",6,52,"WS","Lower canopy","Deciduous",28.33
"429",6.1,77,"D","Lower canopy","Deciduous",27
"430",6.2,90,"D","Lower canopy","Deciduous",13.25
"431",6.3,87,"D","Lower canopy","Deciduous",23
"432",6.4,89,"D","Lower canopy","Deciduous",14.9
"433",7,177,"WS","Lower canopy","Deciduous",NA
"434",7.1,85,"D","Lower canopy","Deciduous",NA
"435",7.2,80,"D","Lower canopy","Deciduous",14.58
"436",7.5,102,"BS","Lower canopy","Deciduous",NA
"437",7.6,114,"BS","Lower canopy","Deciduous",NA
"438",8,19,"Early recovery","Lower canopy","Deciduous",NA
"439",9,76,"BS","Lower canopy","Deciduous",1.66
"440",9.2,73,"D","Lower canopy","Deciduous",38.58
"441",9.3,78,"D","Lower canopy","Deciduous",18
"442",9.4,122,"BS","Lower canopy","Deciduous",16.2
"443",9.5,67,"D","Lower canopy","Deciduous",28
"444",9.6,114,"D","Lower canopy","Deciduous",26.6
"445",10,32,"Early recovery","Lower canopy","Deciduous",19.1
"446",11,199,"BS","Lower canopy","Deciduous",3.36
"447",11.1,80,"D","Lower canopy","Deciduous",26.25
"448",11.2,99,"D","Lower canopy","Deciduous",15.75
"449",11.3,45,"D","Lower canopy","Deciduous",31.16
"450",11.4,54,"D","Lower canopy","Deciduous",57.83
"451",12,60,"D","Lower canopy","Deciduous",18.2
"452",13,76,"D","Lower canopy","Deciduous",17.33
"453",13.1,85,"D","Lower canopy","Deciduous",11.83
"454",13.2,85,"D","Lower canopy","Deciduous",4.9
"455",14,15,"Early recovery","Lower canopy","Deciduous",19.46
"456",14.1,87,"BS","Lower canopy","Deciduous",2.2
"457",14.2,134,"BS","Lower canopy","Deciduous",2.1
"458",14.3,65,"BS","Lower canopy","Deciduous",26.66
"459",14.4,136,"BS","Lower canopy","Deciduous",2
"460",14.5,134,"WS","Lower canopy","Deciduous",5
"461",14.6,81,"BS","Lower canopy","Deciduous",1.3
"462",15,47,"D","Lower canopy","Deciduous",16.5
"463",15.1,78,"BS","Lower canopy","Deciduous",7.1
"464",15.2,83,"BS","Lower canopy","Deciduous",3.15
"465",15.3,85,"BS","Lower canopy","Deciduous",6
"466",15.4,75,"BS","Lower canopy","Deciduous",1.5
"467",15.5,80,"BS","Lower canopy","Deciduous",7
"468",15.6,83,"BS","Lower canopy","Deciduous",21
"469",16,3,"recent fire","Lower canopy","Deciduous",1.63
"470",16.1,118,"D","Lower canopy","Deciduous",38.1599999999999
"471",16.2,100,"D","Lower canopy","Deciduous",54.58
"472",16.3,106,"D","Lower canopy","Deciduous",18
"473",16.4,68,"D","Lower canopy","Deciduous",NA
"474",16.5,138,"D","Lower canopy","Deciduous",11
"475",16.6,68,"D","Lower canopy","Deciduous",61.4
"476",17,16,"Early recovery","Lower canopy","Deciduous",11.26
"477",17.1,176,"D","Lower canopy","Deciduous",64
"478",17.2,69,"D","Lower canopy","Deciduous",23
"479",17.3,118,"D","Lower canopy","Deciduous",29
"480",17.4,136,"D","Lower canopy","Deciduous",15.5
"481",17.5,148,"D","Lower canopy","Deciduous",23.3
"482",17.6,72,"D","Lower canopy","Deciduous",47.5
"483",18,8,"recent fire","Lower canopy","Deciduous",21.6
"484",18.1,125,"BS","Lower canopy","Deciduous",NA
"485",18.2,175,"D","Lower canopy","Deciduous",32.6
"486",19,60,"D","Lower canopy","Deciduous",13.67
"487",20,14,"Early recovery","Lower canopy","Deciduous",13
"488",20.1,75,"BS","Lower canopy","Deciduous",12.83
"489",20.2,63,"BS","Lower canopy","Deciduous",7.5
"490",20.3,73,"BS","Lower canopy","Deciduous",9.99
"491",21.1,73,"BS","Lower canopy","Deciduous",4.14
"492",21.2,106,"BS","Lower canopy","Deciduous",NA
"493",22.1,60,"D","Lower canopy","Deciduous",33.1599999999999
"494",22.2,70,"WS","Lower canopy","Deciduous",26.66
"495",22.3,50,"D","Lower canopy","Deciduous",7.16
"496",23.2,83,"D","Lower canopy","Deciduous",15
"497",23.3,76,"D","Lower canopy","Deciduous",39.1599999999999
"498",24.1,83,"WS","Lower canopy","Deciduous",17.49
"499",24.2,142,"D","Lower canopy","Deciduous",25
"500",24.3,134,"WS","Lower canopy","Deciduous",15.83
"501",25.1,75,"WS","Lower canopy","Deciduous",14.99
"502",25.2,94,"D","Lower canopy","Deciduous",NA
"503",25.3,140,"WS","Lower canopy","Deciduous",NA
"504",27.1,84,"BS","Lower canopy","Deciduous",15
"505",27.2,66,"BS","Lower canopy","Deciduous",11
